subject 2884
resume 21
gloria 5
davis 9
candidate 9
through 232
recruiter 2
fee 86
please 1069
review 82
has 650
great 100
experience 55
would 360
immediate 39
asset 20
your 1749
company 669
over 306
course 18
her 107
career 7
she 150
obtained 7
with 1566
pipeline 46
analysis 17
revenue 35
accounting 66
invoicing 2
transportation 20
highlights 5
are 1368
gpa 2
interfaced 2
all 794
aspects 6
organizations 9
trader 12
customers 125
financial 61
reporting 22
schedulers 11
strong 55
skills 11
effective 182
original 63
doc 30
curry 2
job 28
response 35
have 1347
not 1190
talked 18
this 2823
person 52
accrued 3
here 424
breakdown 4
day 343
counterparties 2
volumes 203
disregard 5
prior 87
mail 255
correct 62
spreadsheet 27
for 3665
forwarded 410
aimee 50
lannou 34
hou 2666
2000 1937
pat 222
clynes 163
corp 704
enron 2373
daren 537
farmer 361
gary 237
hanks 124
cuts 4
fyi 90
latest 54
richardson 4
oasis 21
paso 14
was 554
now 307
385 2
cut 27
615 3
exxon 22
214 30
201 8
waha 16
who 184
110 16
831 7
279 5
166 3
devon 29
transition 10
july 407
avails 13
beverly 50
beaty 33
will 1299
lead 23
operations 61
contact 262
production 255
assemble 3
information 546
personnel 9
necessary 66
make 226
smooth 3
possible 61
eliminate 9
mails 9
designate 2
one 416
main 20
from 1399
each 143
desks 5
backup 4
central 40
desk 86
west 27
texas 154
can 783
receive 99
distribute 20
nom 199
changes 87
operational 10
proper 22
you 3116
any 773
questions 258
let 327
know 480
thanks 513
revision 56
sea 14
robin 10
ami 125
chokshi 88
steve 112
holmes 27
christina 4
attached 334
shows 18
that 1787
should 476
been 398
nominated 29
plant 193
back 203
those 110
two 160
days 187
gas 890
processed 13
resulting 34
decrease 15
pvr 5
down 97
again 115
were 191
increased 34
reflect 19
processing 21
loss 47
friday 82
june 112
305 2
reveffo 10
61500 12
xls 314
330 3
333 7
337 2
smi 2
580 2
gbl 2
hpl 838
noms 70
see 402
file 222
hplo 154
620 2
actuals 160
thru 49
teco 216
tap 208
500 89
iferc 135
katy 59
000 803
atmic 4
hurta 4
new 557
vance 181
deal 686
created 99
entered 98
sitara 248
bob 225
taylor 112
robert 408
cotten 153
hillary 49
mack 42
lisa 98
hesse 53
heidi 28
withers 26
susan 118
smith 99
donald 56
reinhardt 49
melissa 176
graves 112
corporation 118
vlt 44
6353 42
counterparty 90
name 178
cooperation 12
acting 9
seller 4
representative 46
following 181
commenced 4
flow 165
ticket 227
into 308
based 187
meter 817
price 532
period 72
9837 2
mmbtu 298
100 231
daily 247
less 148
create 90
submit 23
committed 21
reserves 49
firm 63
remaining 26
term 88
beginning 39
month 241
additionally 39
producer 46
svcs 32
tracked 31
wellhead 76
portfolio 69
gathering 62
contract 192
these 450
doing 31
some 237
special 133
deals 212
green 52
bayou 8
dealmaker 2
calling 15
find 135
out 406
what 376
think 124
his 130
scheduler 5
case 41
anyway 6
need 420
agree 38
flowed 38
get 475
them 196
system 183
they 307
billed 7
correctly 20
edward 35
gottlob 25
when 263
chance 28
like 254
revised 78
availabilities 38
jacqueline 2
blanchard 4
text 64
htm 46
change 216
tennessee 5
jan 41
