subject 1000
resume 11
gloria 1
davis 4
candidate 4
through 73
recruiter 2
fee 31
please 424
review 22
has 186
great 23
experience 12
would 134
immediate 6
asset 11
your 170
company 29
over 60
course 3
her 17
career 2
she 30
obtained 5
with 278
pipeline 29
analysis 8
revenue 2
accounting 35
invoicing 2
transportation 12
highlights 3
are 289
gpa 1
interfaced 1
all 152
aspects 1
organizations 1
trader 12
customers 17
financial 11
reporting 7
schedulers 10
strong 2
skills 5
effective 90
original 16
doc 26
curry 1
job 10
response 17
have 354
not 229
talked 16
this 406
person 30
accrued 1
here 71
breakdown 3
day 128
counterparties 2
volumes 109
disregard 5
prior 26
mail 64
correct 47
spreadsheet 21
for 785
forwarded 266
aimee 25
lannou 18
hou 282
2000 657
pat 116
clynes 91
corp 250
enron 465
daren 284
farmer 185
gary 87
hanks 60
cuts 3
fyi 85
latest 11
richardson 2
oasis 8
paso 9
was 160
now 62
385 1
cut 9
615 1
exxon 7
214 8
201 7
waha 7
who 58
110 12
831 6
279 1
166 3
devon 16
transition 8
july 175
avails 7
beverly 27
beaty 28
will 365
lead 4
operations 22
contact 68
production 100
assemble 1
information 110
personnel 7
necessary 27
make 72
smooth 1
possible 27
eliminate 7
mails 7
designate 1
one 82
main 7
from 357
each 53
desks 5
backup 2
central 14
desk 46
west 13
texas 79
can 190
receive 30
distribute 6
nom 146
changes 42
operational 4
proper 7
you 455
any 260
questions 187
let 220
know 259
thanks 338
revision 42
sea 3
robin 4
ami 61
chokshi 53
steve 61
holmes 21
christina 4
attached 258
shows 15
that 330
should 209
been 152
nominated 24
plant 82
back 71
those 28
two 51
days 75
gas 328
processed 4
resulting 4
decrease 12
pvr 5
down 41
again 49
were 72
increased 6
reflect 13
processing 6
loss 11
friday 46
june 63
305 2
reveffo 2
61500 1
xls 162
330 1
333 6
337 1
smi 1
580 1
gbl 2
hpl 342
noms 59
see 231
file 155
hplo 77
620 1
actuals 134
thru 33
teco 127
tap 125
500 42
iferc 79
katy 35
000 235
atmic 1
hurta 1
new 125
vance 78
deal 228
created 53
entered 43
sitara 115
bob 121
taylor 63
robert 135
cotten 72
hillary 24
mack 24
lisa 47
hesse 31
heidi 18
withers 17
susan 56
smith 54
donald 34
reinhardt 31
melissa 64
graves 47
corporation 19
vlt 39
6353 38
counterparty 59
name 54
cooperation 4
acting 5
seller 2
representative 6
following 101
commenced 2
flow 99
ticket 98
into 117
based 48
meter 213
price 103
period 45
9837 2
mmbtu 129
100 46
daily 134
less 41
create 45
submit 15
committed 16
reserves 14
firm 25
remaining 21
term 29
beginning 33
month 140
additionally 30
producer 32
svcs 25
tracked 27
wellhead 47
portfolio 37
gathering 45
contract 103
these 112
doing 13
some 88
special 10
deals 85
green 22
bayou 7
dealmaker 2
calling 11
find 44
out 115
what 122
think 66
his 19
scheduler 5
case 10
anyway 2
need 181
agree 26
flowed 28
get 111
them 64
system 60
they 113
billed 7
correctly 18
edward 21
gottlob 15
when 117
chance 11
like 57
revised 44
availabilities 15
jacqueline 2
blanchard 2
text 3
htm 9
change 90
tennessee 2
jan 12
svajian 6
tejas 18
198 1
ssl 1
liz 12
bellamy 9
interview 6
toni 5
graham 5
interested 11
talking 6
set 65
afternoon 35
during 53
next 59
couple 12
weeks 14
621 1
750 16
unify 20
stress 2
test 5
week 63
sybase 3
yvette 7
send 41
probably 25
already 20
heard 12
data 29
base 10
release 7
off 36
today 64
testing 5
tomorrow 38
wed 10
noon 6
people 23
least 7
verify 23
their 71
security 8
access 28
diane 9
niestrath 1
dave 25
mcmullan 2
nommensen 8
harrison 4
brenda 19
herod 14
bryce 3
baxter 3
rita 41
wynne 40
randall 6
gay 6
george 24
terry 8
carrie 2
jeff 17
johnson 21
scott 24
williamson 3
john 46
jim 11
regan 2
kenneth 6
harmon 3
paul 6
poellinger 2
done 39
preliminary 21
version 9
seen 5
very 31
positive 2
results 5
our 139
initial 5
tests 1
proceed 7
confused 5
showing 16
work 48
due 40
hardware 4
business 30
restrictions 6
similar 12
late 15
1998 5
ask 17
users 8
well 67
folks 7
run 11
many 11
usual 3
time 92
frame 6
approx 8
tuesday 16
wednesday 21
sure 49
order 24
pizza 1
staff 8
environment 4
accessed 1
via 23
start 18
programs 1
applications 6
power 10
stage 3
login 2
window 3
select 10
server 4
password 9
does 46
try 22
houston 63
neighbor 1
audit 4
says 7
fine 12
its 19
just 97
user 9
plan 21
several 19
sessions 4
where 32
permissible 5
simulate 2
heavy 1
load 3
able 32
participate 7
monday 35
insure 3
script 1
logistics 30
pathing 8
nominating 2
running 16
reports 4
volume 114
management 55
thing 9
settlements 13
area 10
assist 14
important 12
dictate 1
whether 14
pursue 3
mid 17
bid 6
poor 3
performance 13
better 13
advance 6
