subject 1000
resume 2
gloria 1
davis 2
candidate 2
through 93
recruiter 0
fee 21
please 205
review 31
has 158
great 63
experience 34
would 131
immediate 29
asset 5
your 505
company 97
over 150
course 15
her 50
career 2
she 54
obtained 1
with 379
pipeline 1
analysis 5
revenue 20
accounting 23
invoicing 0
transportation 4
highlights 2
are 337
gpa 1
interfaced 1
all 304
aspects 5
organizations 8
trader 0
customers 54
financial 29
reporting 10
schedulers 0
strong 27
skills 3
effective 36
original 30
doc 2
curry 1
job 9
response 17
have 346
not 293
talked 1
this 401
person 12
accrued 1
here 268
breakdown 1
day 77
counterparties 0
volumes 0
disregard 0
prior 51
mail 94
correct 12
spreadsheet 0
for 539
forwarded 1
aimee 0
lannou 0
hou 1
2000 24
pat 0
clynes 0
corp 23
enron 0
daren 0
farmer 1
gary 2
hanks 1
cuts 0
fyi 0
latest 42
richardson 2
oasis 0
paso 0
was 127
now 170
385 1
cut 8
615 2
exxon 1
214 1
201 0
waha 0
who 77
110 1
831 0
279 4
166 0
devon 0
transition 1
july 9
avails 0
beverly 3
beaty 0
will 215
lead 16
operations 21
contact 59
production 18
assemble 2
information 147
personnel 2
necessary 33
make 91
smooth 2
possible 29
eliminate 2
mails 2
designate 1
one 200
main 12
from 272
each 52
desks 0
backup 2
central 13
desk 8
west 9
texas 11
can 271
receive 61
distribute 13
nom 0
changes 7
operational 4
proper 12
you 579
any 175
questions 22
let 43
know 89
thanks 66
revision 0
sea 7
robin 2
ami 0
chokshi 0
steve 0
holmes 1
christina 0
attached 10
shows 3
that 300
should 102
been 125
nominated 1
plant 7
back 79
those 48
two 74
days 43
gas 18
processed 9
resulting 29
decrease 3
pvr 0
down 43
again 56
were 56
increased 25
reflect 0
processing 9
loss 26
friday 19
june 7
305 0
reveffo 0
61500 0
xls 0
330 0
333 1
337 1
smi 0
580 1
gbl 0
hpl 0
noms 0
see 111
file 18
hplo 0
620 0
actuals 0
thru 4
teco 0
tap 2
500 26
iferc 0
katy 0
000 67
atmic 0
hurta 0
new 172
vance 2
deal 20
created 8
entered 21
sitara 0
bob 2
taylor 2
robert 6
cotten 0
hillary 0
mack 0
lisa 1
hesse 0
heidi 0
withers 0
susan 1
smith 1
donald 3
reinhardt 0
melissa 0
graves 1
corporation 17
vlt 1
6353 0
counterparty 0
name 55
cooperation 7
acting 0
seller 1
representative 36
following 20
commenced 2
flow 13
ticket 10
into 105
based 61
meter 0
price 125
period 9
9837 0
mmbtu 0
100 84
daily 16
less 68
create 21
submit 1
committed 5
reserves 8
firm 6
remaining 4
term 29
beginning 6
month 54
additionally 6
producer 1
svcs 2
tracked 0
wellhead 0
portfolio 18
gathering 4
contract 13
these 123
doing 14
some 90
special 94
deals 45
green 21
bayou 1
dealmaker 0
calling 3
find 69
out 184
what 147
think 34
his 62
scheduler 0
case 25
anyway 4
need 114
agree 12
flowed 0
get 241
them 92
system 63
they 96
billed 0
correctly 2
edward 3
gottlob 0
when 83
chance 14
like 156
revised 0
availabilities 0
jacqueline 0
blanchard 1
text 51
htm 18
change 64
tennessee 1
jan 22
svajian 0
tejas 0
198 1
ssl 1
liz 0
bellamy 1
interview 1
toni 1
graham 0
interested 32
talking 15
set 37
afternoon 2
during 16
next 55
couple 6
weeks 26
621 0
750 9
unify 1
stress 6
test 16
week 55
sybase 0
yvette 1
send 86
probably 8
already 30
heard 14
data 27
base 15
release 32
off 73
today 127
testing 1
tomorrow 1
wed 12
noon 3
people 48
least 5
verify 3
their 126
security 62
access 27
diane 3
niestrath 0
dave 3
mcmullan 0
nommensen 0
harrison 1
brenda 0
herod 0
bryce 0
baxter 0
rita 0
wynne 0
randall 0
gay 2
george 3
terry 2
carrie 0
jeff 5
johnson 2
scott 2
williamson 0
john 8
jim 2
regan 0
kenneth 3
harmon 0
paul 3
poellinger 0
done 17
preliminary 1
version 29
seen 17
very 75
positive 22
results 70
our 305
initial 12
tests 3
proceed 1
confused 0
showing 6
work 48
due 56
hardware 7
business 85
restrictions 0
similar 22
late 21
1998 2
ask 22
users 16
well 60
folks 0
run 24
many 113
usual 3
time 196
frame 2
approx 0
tuesday 12
wednesday 7
sure 21
order 92
pizza 2
staff 12
environment 8
accessed 1
via 62
start 39
programs 20
applications 13
power 36
stage 4
login 2
window 2
select 9
server 30
password 7
does 58
try 44
houston 6
neighbor 1
audit 3
says 20
fine 9
its 92
just 158
user 18
plan 14
several 15
sessions 1
where 52
permissible 1
simulate 1
heavy 9
load 9
able 29
participate 10
monday 21
insure 0
script 5
logistics 0
pathing 0
nominating 0
running 17
reports 6
volume 14
management 36
thing 36
settlements 5
area 44
assist 16
important 39
dictate 1
whether 12
pursue 3
mid 10
bid 1
poor 8
performance 50
better 52
advance 3
help 59
1429 0
sterling 3
small 35
could 80
eastrans 0
nomination 1
stacey 0
neuweiler 0
capital 16
trade 49
resources 9
william 1
speckels 0
dfarmer 0
com 326
briley 0
michael 12
cherry 3
chad 1
cass 0
julia 3
urbanek 0
bretz 0
bruce 0
mcmills 0
nominate 1
450 5
forward 47
redeliveries 0
made 73
follows 1
valero 0
497 1
fuels 0
cotton 2
valley 2
give 48
call 36
713 1
627 0
gave 4
allocated 0
greens 0
checked 2
286824 0
ends 1
there 125
still 39
more 274
reallocated 0
extend 4
also 115
might 45
include 71
san 7
ena 0
kept 7
whole 9
summary 3
report 68
cpr 0
named 3
currently 34
being 91
reviewed 1
upgrade 5
told 13
used 42
check 63
positions 11
particular 10
pipe 2
zone 37
additional 43
easily 20
added 14
selection 12
application 26
anyone 13
detailed 8
may 130
format 39
sufficient 0
soon 27
chao 0
cameron 1
587 0
fwd 4
128 7
date 40
jun 2
0500 5
mime 9
content 23
type 25
multipart 5
mixed 3
boundary 3
eastern 2
adios 2
most 96
leaving 2
endeavors 1
moving 15
home 61
toronto 1
going 45
take 105
school 15
january 21
after 74
life 48
store 28
wanted 17
thank 57
wonderful 3
experiences 1
had 78
pleasure 16
working 24
getting 30
hope 18
ever 50
drop 7
line 73
last 70
however 10
staying 2
until 27
end 33
speak 8
before 98
leave 10
but 152
don 79
manage 8
keep 51
touch 4
address 65
jennifer 1
sabine 0
yahoo 41
care 31
good 80
luck 13
622 0
120 16
lsk 0
reliant 0
attempt 4
humor 0
look 64
competition 18
thinks 5
about 153
venturatos 0
angie 2
zeman 0
thought 22
laugh 3
around 27
below 73
press 45
bit 22
everyone 29
always 61
looking 88
looks 6
loop 2
both 35
hades 0
announced 21
definitive 3
energy 37
services 50
agreement 23
said 39
worth 25
estimated 11
666 0
trillion 3
provide 32
electric 3
commodities 0
facilities 4
throughout 15
under 67
north 24
america 35
rockefeller 0
former 5
ceo 17
monopolist 0
standard 16
oil 21
head 18
division 8
obviously 1
hell 2
significant 11
heating 0
while 43
eternal 2
idea 13
concept 3
require 15
vast 3
reliable 19
fuel 7
only 194
supplier 5
willing 2
boss 1
way 71
together 12
negotiations 17
according 8
fits 3
companies 55
exceptionally 0
ability 26
attract 6
retain 1
fabulous 1
growth 37
opportunity 29
come 53
industry 52
insiders 2
high 93
demand 14
little 52
summer 3
air 9
conditioning 1
attractive 5
addition 11
multinational 1
millions 17
sites 15
worldwide 33
approximately 13
entity 2
sustained 5
rates 31
thousand 41
years 40
world 88
leading 20
communications 16
owns 8
billion 15
assets 14
ranks 2
top 50
quarter 25
fortune 12
best 147
mind 26
hours 61
among 18
corporations 9
ranked 1
respect 34
supply 24
contracts 7
organizational 0
within 77
risk 37
connevey 0
chantelle 0
villanueva 0
kathryn 0
deboisblanc 0
denny 0
kelly 0
david 3
oliver 1
cathy 2
fletcher 0
mary 6
theresa 0
franklin 2
elizabeth 2
hernandez 0
crystal 8
alicia 0
perkins 0
melba 0
bowen 2
sandy 0
jeffrey 1
gossett 0
gregory 0
kimberly 0
michelle 1
chris 1
walker 1
gabriel 2
dawn 1
kenne 0
heather 0
choate 0
irena 0
hogan 0
katherine 0
jackson 2
neal 1
brent 0
brown 6
assistants 0
groups 5
august 10
east 17
team 17
role 4
london 14
office 63
kyle 0
etter 3
begin 19
few 39
join 16
congratulating 0
opportunities 23
royal 2
edmondson 0
reliantenergy 0
lowering 3
midcon 0
aim 3
extended 8
